漢字	音読み	訓読み	画数	部首	異体字	れい	例	
沿	エン	そ(う)	8	氵,さんずい		かわぞい、えんがん、えんせん、えんかい、えんどう	川沿い、沿岸、沿線、沿海、沿道	
我	ガ	われ、わ	7	戈,ほこ		われわれ、わがや、がまん、けが、じが	我々、我が家、我慢、怪我、自我	
灰	カイ	はい	6	火,ひ		はいざら、はいいろ、せっかい、かざんばい	灰皿、灰色、石灰、火山灰	
拡	カク		8	扌,てへん	擴	かくちょう、かくだい、かくせいき、かくさん	拡張、拡大、拡声器、拡散	
革	カク	かわ	9	革,かわ		かわぐつ、かいかく、かくめい、かくしん、ひかく	革靴、改革、革命、革新、皮革	
閣	カク		14	門,もんがまえ		(せいじかんけい)、かくぎ、かくりょう、ないかく、かくない	閣議、閣僚、内閣、閣内	
割	カツ	わり、わ(る)、わ(れる)、さ(く)	12	刂,りっとう		わりざん、やくわり、わりあい、わりびき	割り算、役割、割合、割引	
株		かぶ	10	木,きへん		かぶしきがいしゃ	株式会社	
干	カン	ほ(す)、ひ(る)	3	干,ほす		かんしょう、じゃっかん、うめぼし、ひがた、えと(じゅうにし)	干渉、若干、梅干し、干潟、干支	
巻	カン	まき、ま(く)	9	己,おのれ	卷	まきこむ、はらまき、まきもの、うずまき	巻き込む、腹巻、巻物、渦巻き	
看	カン	み(る)	9	目,め		かんごし、(かんじゃを)みる、かんばん	看護師、看る、看板	
簡	カン		18	𥫗,たけかんむり		かんたん、かんい、かんけつ、かんそ、かんりゃく	簡単、簡易、簡潔、簡素、簡略	
危	キ	あぶ(ない)、あや(うい)、あや(ぶむ)	6	卩㔾,わりふ,ふひづくり		きけん、きき、きとく、きぐ	危険、危機、危篤、危惧	
机	キ	つくえ	6	木,きへん		きじょう、きじょうけんさ、きじょうチェック	机上、机上検査、机上チェック	
揮	キ		12	扌,てへん		しきしゃ、はっき、きはつ	指揮者、発揮、揮発	
貴	キ	たっと(い)、とうと(い)	9	貝,かい,こがい	贵(中)	きちょう、きぞく、あなた	貴重、貴族、貴方	gui4
疑	ギ	うたが(う)	14	𤴔,ひきへん		ぎもん、ようぎしゃ、ぎわく	疑問、容疑者、疑惑	
吸	キュウ	す(う)	6	口,くちへん		きゅうしゅう、こきゅう、きゅうけつき	吸収、呼吸、吸血鬼	
供	キョウ	そな(える)、とも	8	亻,にんべん		ていきょう、きょうきゅう、きょうよ	提供、供給、供与	
胸	キョウ	むね、むな	10	月,にくづき		どきょう、むなもと	度胸、胸元	
郷	キョウ、ゴウ		11	阝,おおざと	鄕	こきょう、きょうしゅう、ふるさと	故郷、郷愁	
勤	キン、ゴン	つと(まる)、つと(める)	12	力,ちから	勤	きんべん、きんむ、しゅっきん、つうきん、てんきん	勤勉、勤務、出勤、通勤、転勤	
