漢字	音読み	訓読み	画数	部首	異体字	れい	例	
一	イチ、イツ	ひと、ひと(つ)	1	一,いち	壱、弌			
二	ニ	ふた、ふた(つ)	2	二,に	弐			
三	サン	み、み(つ)、みっ(つ)	3	一,いち				
四	シ	よ、よん、よっ(つ)、よ(つ)	5	囗,くにがまえ				
五	ゴ	いつ、いつ(つ)	4	二,に				
六	ロク	む、む(つ)、むい、むっ(つ)	4	八,はち				
七	シチ	なな、なな(つ)、なの	2	一,いち				
八	ハチ	や、や(つ)、やっ(つ)、よう	2	八,はち				
九	キュウ、ク	ここの、ここの(つ)	2	乙,おつ				
十	ジュウ、ジッ	と、とお	2	十,じゅう				
百	ヒャク		6	白,しろ		100		
千	セン	ち	3	十,じゅう		1000		
右	う、ユウ	みぎ	5	口,くち				
雨	ウ	あめ、あま	8	雨,あめ				
円	エン	まる(い)	4	冂,けいがまえ,まきがまえ,どうがまえ,えんがまえ	圓			
王	オウ		4	王,おう		おうさま	王様	
音	オン、イン	おと、ね	9	音,おと				
下	カ、ゲ	した、お(りる)、お(ろす)、くだ(さる)、くだ(す)、くだ(る)、さ(がる)、さ(げる)、しも、もと	3	一,いち				
火	カ	ひ、ほ	4	火,ひ				
花	カ	はな	7	艸艹,くさ,くさかんむり				
貝	ハイ、バイ	かい	7	貝,かい,こがい	贝(中)	かいがら	貝殻	
学	ガク	まな(ぶ)	8	子,こ	學、斈			
気	キ、ケ	いき	6	气,きがまえ	气(中)、氣	きぶん	気分	
休	キュウ	やす(み)、やす(まる)、やす(む)、やす(める)	6	亻,にんべん				
玉	ギョク	たま	5	玉,たま				
金	キン、コン	かね、かな	8	金,かね				
空	クウ	そら、あ(く)、あ(ける)、から、あな	8	穴,あなかんむり				
月	ゲツ、ガツ	つき	4	月,つき				
犬	ケン	いぬ	4	犬,いぬ				
見	ケン	み(る)、み(える)、み(せる)	0	見,みる	见(中)			
口	コウ、ク	くち	3	口,くち				
校	コウ		10	木,きへん		がっこう、こうこう	学校、高校	
左	サ	ひだり	5	工,え,たくみ				
山	サン	やま	3	山,やま				
子	シ、ス	こ	3	子,こ		こども	子供	
糸	シ	いと	6	糸,いと	絲			
字	ジ	あざ	6	子,こ		かんじ	漢字	
耳	ジ	みみ	6	耳,みみ				
車	シャ	くるま	7	車,くるま	车(中)			
手	シュ、ズ	て、た	4	手,て		て、きって、てがみ、じょうず、へた	手、切手、手紙、上手、下手	
出	シュツ、スイ	で(る)、だ(す)	5	凵,うけばこ,かんにょう,かんがまえ				
女	ジョ、ニョ	おんな、め	3	女,おんな				
小	ショウ	ちい(さい)、お、こ	3	小,しょう,ちいさい				
上	ジョウ、ショウ	うえ、うわ、あ(がる)、あ(げる)、かみ、のぼ(る)	3	一,いち				
森	シン	もり	12	木,き				
人	ジン、ニン	ひと	2	人,ひと				
水	スイ	みず	4	水,みず				
正	セイ、ショウ	ただ(しい)、ただ(す)、まさ	5	止,とめる				
生	セイ、ショウ、ソウ	い(きる)、い(かす)、い(ける)、う(まれる)、う(む)、なま、は(える)、は(やす)	5	生,いきる				
青	セイ、ショウ	あお、あお(い)	8	青,あお	靑			
夕	セキ	ゆう	3	夕,た,ゆう,ゆうべ		ゆうべ、ゆうしょく	夕べ、夕食	
石	セキ、シャク	いし	5	石,いし				
赤	セキ	あか、あか(い)、あか(らめる)、あか(らむ)	7	赤,あか				
川	セン	かわ	3	巛,まがりかわ				
先	セン	さき、ま(ず)	6	儿,こんにょう,ひとあし				
早	ソウ、サ、サッ	はや(い)、はや(まる)、はや(める)	6	日,ひ,にち				
草	ソウ	くさ	9	艸艹,くさかんむり				
足	ソク	あし、た(す)、た(りる)、た(る)	7	足,あし				
村	ソン	むら	7	木,きへん				
大	ダイ、タイ、タ、ダ	おお、おお(きい)、おお(いに)	3	大,だい				
男	ダン、ナン	おとこ	7	田,た				
竹	チク	たけ	6	竹,たけ				
中	チュウ、ジュウ	なか	4	丨,ぼう,たてぼう				
虫	チュウ	むし	6	虫,むし	蟲			
町	チョウ	まち	7	田,たへん				
天	テン、デン	あま、あめ	4	大,だい		てんばつ	天罰	
田	デン	た	5	田,た		たんぼ	田圃	
土	ド、ト	つち	3	土,つち				
日	ニチ、ジツ	か、ひ	4	日,ひ		～本　(ジャパン)		
入	ニュウ	はい(る)、い(る)、い(れる)	2	入,にゅう				
年	ネン	とし	6	干,いちじゅう,かん				
白	ハク	しろ、しろ(い)、しら	5	白,しろ				
文	ぶん、モン	ふみ	4	文,ぶん				
木	モク、ボク	き、こ	4	木,き				
本	ホン	もと	5	木,き		ほん、にほん	本、日本	
名	メイ、ミョウ	な	6	口,くち		なまえ	名前	
目	モク、ボク	め、ま	5	目,め		め	目	
立	リツ、リットル	た(つ)、た(てる)	5	立,たつ				
力	リョク、リキ	ちから	2	力,ちから				
林	リン	はやし	8	木,きへん				
引	イン	ひく、ひける	4	弓,ゆみへん		ひきだし、いんたい、ごういん	引き出し、引退、強引	
羽	ウ	はね、は	6	羽,はね	羽			
雲	ウン	くも	12	雨,あめかんむり				
園	エン	その	13	囗,くにがまえ	薗			
遠	エン	とお(い)	13	辵辶⻌,しんにょう,しんにゅう				
何	カ	なに、なん	7	人,ひとへん				
科	カ		9	禾,のぎへん		かもく、かがく、りか、げか	科目、科学、理科、外科	
夏	カ	なつ	10	夂,夊,ふゆがしら,すいにょう,なつあし				
家	カ、ケ	いえ、や	10	宀,うかんむり				
歌	カ	うた、うた(う)	14	欠,あくび,かける	哥、謌			
画	ガ、カク		8	田,た	畫	えいが、かくすう	映画、画数	
回	カイ	まわ(す)、まわ(る)	6	囗,くにがまえ	迴			
会	カイ、エ	あ(う)	6	人,ひとやね	會	かいしゃ、しゃかい	会社、社会	
海	カイ	うみ	9	氵,さんずい	海			
絵	カイ、エ		12	糹,いとへん	繪	え、かいが、えほん	絵、絵画、絵本	
外	ガイ、ゲ	そと、はず(す)、はず(れる)、ほか	5	夕,ゆう				
角	カク	かど、つの	7	角,かく				
楽	ガク、ラク	たの(しい)、たの(しむ)	16	木,き	乐(中)、樂			
活	カツ	い(かす)	9	氵,さんずい		せいかつ、かつどう	生活、活動	
間	カン、ケン	あいだ、ま	12	門,もんがまえ				
丸	ガン	まる(い)、まる(める)	3	丶,てん				
岩	ガン	いわ	8	山,やまかんむり				
顔	ガン	かお	18	頁,おおがい	顏			
汽	キ		7	氵,さんずい		きしゃ、きせん	汽車、汽船	
記	キ	しる(す)	10	訁,ごんべん		きしゃ、にっき	記者、日記	
帰	キ	かえ(る)、かえ(す)	10	巾,はば	歸			
弓	キュウ	ゆみ	3	弓,ゆみ				
牛	ギュウ	うし	4	牛,うし				
魚	ギョ	さかな、うお	11	魚,さかな	鱼(中)			
京	キョウ	みやこ	8	亠,なべぶた		とうきょう、きょうと	東京、京都	
強	キョウ、ゴウ	つよ(い)、つよ(まる)、つよ(める)、し(いる)	11	弓,ゆみへん				
教	キョウ	おし(える)、おそ(わる)	11	攴攵,のぶん	敎			
近	キン、コン	ちか(い)	7	辵辶⻌,しんにょう				
兄	キョウ、ケイ	あに	5	儿,ひとあし				
形	ケイ、ギョウ	かたち、かた	7	彡,さんづくり				
計	ケイ	はか(る)、はか(らう)	9	訁,ごんべん		とけい	時計	
元	ゲン、ガン	もと	4	儿,ひとあし				
言	ゲン、ゴン	い(う)、こと	7	言,ことば				
原	ゲン	はら	10	厂,がんだれ		はらしん、そうげん、げんいん	原信、草原、原因	
戸	コ	と	4	戶,と		にこだて	二戸建て	
古	コ	ふる(い)	5	口,くち				
午	ゴ		4	十,じゅう		しょうご！、ごご、ごぜん	正午、午後、午前	
後	ゴ、コウ	あと、うし(ろ)、のち	9	彳,ぎょうにんべん				
語	ゴ	かた(る)	14	訁,ごんべん		にほんご	日本語	
工	コウ、ク		3	工,たくみ		こうじょう、こうじ、だいく	工場、工事、大工	
公	コウ	おおやけ	4	八,はち				
広	コウ	ひろ(い)、ひろ(がる)、ひろ(げる)、ひろ(まる)、ひろ(める)	5	广,まだれ	廣			
交	コウ	ま(ざる)、ま(じる)、ま(ぜる)、まじ(える)、まじ(わる)、か(わす)、か(う)	6	亠,なべぶた		こうしょう、こうさい	交渉、交際	
光	コウ	ひかり、ひか(る)	6	儿,ひとあし				
考	コウ	かんが(える)	6	老耂,おいかんむり,おいがしら				
行	ギョウ、コウ	い(く)、おこな(う)、ゆ(く)	6	行,ぎょうがまえ				
高	コウ	たか(い)。たか(まる)、たか(める)	10	高,たかい	髙			
黄	オウ、コウ	き、こ	11	黃,き	黃	きいろ	黄色	
合	ゴウ、ガッ、カッ	あ(う)、あ(わす)、あ(わせる)	6	口,くち		あいかぎ　ごうコン	合鍵、合コン	
谷	コク	たに、や	7	谷,たに				
国	コク	くに	8	囗,くにがまえ	國、圀			
黒	コク	くろ、くろ(い)	11	黑,くろ	黑			
今	コン、キン	いま	4	人,ひとやね				
才	サイ		3	手,て		～さい、てんさい	～才、天才	
細	サイ	ほそ(い)、こま(かい)、ほろ(る)	11	糹,いとへん				
作	サク、サ	つく(る)	7	亻,にんべん	做			
算	サン		14	𥫗,たけかんむり		けいさん、さんすう	計算、算数	
止	シ	と(まる)、と(める)、や(む)、や(める)	4	止,とめる				
市	シ	いち	5	巾,はば		～し、にいがたし、しじょう	～市、新潟市、市場	
矢	シ	や	5	矢,や		や、やじるし、ゆみや	矢、矢印、弓矢	
姉	シ	あね	8	女,おんなへん				
思	シ	おも(う)	9	心,こころ				
紙	シ	かみ	10	糹,いとへん		かみ、てがみ	紙、手紙	
寺	ジ	てら	6	寸,すん				
自	ジ、シ	みずか(ら)	6	自,みずから		じぶん、しぜん	自分、自然	
時	ジ	とき	10	日,ひへん	时(中)			
室	シツ	むろ	9	宀,うかんむり		きょうしつ	教室	
社	シャ、ジャ	やしろ	7	礻,しめすへん	社			
弱	ジャク、ニャク	よわ(い)、よわ(まる)、よわ(める)	10	弓,ゆみ				
首	シュ	くび	9	首,くび				
秋	シュウ	あき	9	禾,のぎへん	穐、龝			
週	シュウ		11	辵辶⻌,しんにょう		しゅうかん、らいしゅう、せんしゅう	週刊、来週、先週	
春	シュン	はる	9	日,ひ		はるなつあきふゆ、せいしゅん	春夏秋冬、青春	
書	ショ	か(く)	10	曰,いわく,ひらび	书(中)	じしょ、しょてん、としょかん	辞書、書店、図書館	
少	ショウ	すく(ない)、すこ(し)	4	小,しょう				
場	ジョウ	ば	6	土,つちへん	场(中)	ばしょ、ひろば	場所、広場	
色	ショク、シキ	いろ	6	色,いろ				
食	ショク、ジキ	た(べる)、く(う)、く(らう)	9	食,しょく				
心	シン	こころ	4	心,こころ				
新	シン	あたら(しい)、あら(た)、にい	13	斤,おのづくり				
親	シン	おや、した(しい)、した(しむ)	16	見,みる				
図	ズ、ト	はか(る)	7	囗,くにがまえ	圖、图(中)	ちず、としょかん	地図、図書館	
数	スウ	かず、かぞ(える)	13	攴攵,のぶん	數			
西	サイ、セイ	にし	6	西,にし				
声	セイ	こえ	7	士,さむらい	聲			
星	セイ	ほし	9	日,ひ				
晴	セイ	は(れる)、は(らす)	12	日,ひへん	晴	(すばらしい)の「はらしい」	素晴らしい	
切	セツ、サイ	き(る)、き(れる)	4	刀,かたな				
雪	セツ	ゆき	11	雨,あめかんむり				
船	セン	ふね、ふな	11	舟,ふね				
線	セン		15	糹,いとへん		せん、せんろ	線、線路	
前	ゼン	まえ	9	刂,りっとう				
組	ソ	くみ、く(む)	11	糹,いとへん				
走	ソウ	はし(る)	7	走,はしる				
多	タ	おお(い)	6	夕,ゆうべ				
太	タ、タイ	ふと(い)、ふと(る)	4	大,だい				
体	タイ、テイ	からだ	7	亻,にんべん	體			
台	タイ、ダイ		5	口,くち	臺	たいふう、たいわん	台風、台湾	
地	ジ、チ		6	土,つちへん		じめん、ちず		
池	チ	いけ	6	氵,さんずい				
知	チ	し(る)、し(らせる)	8	矢,やへん				
茶	チャ、サ		9	艹,くさかんむり		おちゃ、さどう	お茶、茶道	
昼	チュウ	ひる	9	日,ひ	晝			
長	チョウ	なが(い)、おさ、た(ける)	8	長,ながい	长(中)			
鳥	チョウ	とり	11	鳥,とり	鸟(中)			
朝	チョウ	あさ	12	月,つき		あさごはん	朝ご飯	
直	ジキ、チョク	ただ(ちに)、なお(る)、なお(す)	8	目,め		ちょくせつ、しょうじき	直接、正直	
通	ツウ、ツ	かよ(う)、とお(る)、とお(す)	10	辵辶⻌,しんにょう				
弟	ダイ、デ、テイ	おとうと	7	弓,ゆみ				
店	テン	みせ	8	广,まだれ				
点	テン	つ(ける)	9	灬,れんが,れっか	點	てん、てんすう、まんてん	点、点数、満点	
電	デン		13	雨,あめかんむり	电(中)	でんわ	電話	
刀	トウ	かたな	2	刀,かたな				
冬	トウ	ふゆ	5	冫,にすい				
当	トウ	あ(てる)、あ(たる)	6	小,しょう	當	てきとう、とうじ	適当、当時	
東	トウ	ひがし	8	木,き	东(中)			
答	トウ	こた(え)、こた(える)	12	𥫗,たけかんむり				
頭	トウ、ズ	あたま、かしら	16	頁,おおがい	头(中)			
同	ドウ	おな(じ)	6	口,くち				
道	ドウ、トウ	みち	12	辵辶⻌,しんにょう				
読	トウ、トク、ドク	よ(む)	14	訁,ごんべん	读(中)、讀	ほんをよむ	本を読む	
内	ナイ、ダイ	うち	4	入,いる	內	いない、ないしん	以内、内心	
南	ナン、ナ	みなみ	9	十,じゅう				
肉	ニク		6	肉,にく		にくしょく	肉食	
馬	バ	うま、ま	10	馬,うま	马			
売	バイ	う(る)、う(れる)	7	士,さむらい	卖(中)、賣			
買	バイ	か(う)	12	貝,かい,こがい	买(中)			
麦	バク	むぎ	7	麥麦,むぎ	麥			
半	ハン	なか(ば)	5	十,じゅう		いちじかんはん	一時間半	
番	バン	つが(い)、つが(う)	12	田,た		いちばん、ばんごう	一番、番号	
父	フ	ちち	4	父,ちち				
風	フウ、フ	かぜ、かざ	9	風,かぜ	风(中)			
分	フン、ブン	わ(かる)、わ(ける)、わ(かれる)	4	刀,かたな				
聞	ブン、モン	き(く)、き(こえる)	14	耳,みみ				
米	ベイ、マイ	こめ	6	米,こめ				
歩	ホ、ブ、フ	ある(く)、あゆ(む)	8	止,とめる	步			
母	ボ	はは	5	毋母,なかれ,はは				
方	ホウ	かた	4	方,ほう		ほうこう、あのかた、どのかた	方向、あの方、どの方	
北	ホク	きた	5	匕,ひ,さじ,さじのひ				
毎	マイ		6	毋母,なかれ,はは	每	まいにち、まいとし	毎日、毎年	
妹	マイ	いもうと	8	女,おんなへん				
万	マン、バン	よろず	3	一,いち	萬	いちまんえん、ばんざい	一万円、万歳	
明	メイ、ミョウ	あ(かす)、あ(かり)、あか(るい)、あき(らか)	8	日,ひへん				
鳴	メイ	な(く)、な(る)、な(らす)	14	鳥,とり	鸣(中)	なきごえ	鳴き声	
毛	モウ	け	4	毛,け		け、もうふ	毛、毛布	
門	モン	かど	8	門门,もんがまえ,かどがまえ		せんもん、(もんだい)じゃない	専門	
夜	ヤ	よる、よ	8	夕,ゆうべ				
野	ヤ	の	11	里,さとへん		のらいぬ、ぶんや、やきゅう	野良犬、分野、野球	
友	ユウ	とも	4	又,また		ともだち、ゆうじん	友達、友人	
用	ヨウ	もち(いる)	5	用,みちいる				
曜	ヨウ		18	日,ひへん		ようび、どようび	曜日、土曜日	
来	ライ	く(る)、きた(す)、きた(る)	7	木,き	來			
里	リ	さと	7	里,さと				
理	リ		11	王,おう		りゆう、かんり、りかい	理由、管理、理解	
話	ワ	はなし、はな(す)	13	訁,ごんべん				
悪	アク、オ	わる(い)	11	心,こころ	惡			
安	アン	やす(い)	6	宀,うかんむり		あんぜん	安全	
暗	アン	くら(い)	13	日,ひへん				
医	イ		7	匸,かくしがまえ	醫	いしゃ、はいしゃ	医者、歯医者	
委	イ	ゆだ(ねる)	8	女,おんな		いいんかい	委員会	
意	イ		13	心,こころ		いみ	意味	
育	イク	そだ(つ)、そだ(てる)、はぐくむ	8	月,にくづき		きょういく	教育	
員	イン		10	口,くち		しゃいん、いいんかい	社員、委員会	
院	イン		10	阜阝,こざとへん		びょういん	病院	
飲	イン	の(む)	12	飠,しょくへん	饮(中)、飮	いんしょくてん	飲食店	
運	ウン	はこ(ぶ)	12	辵辶⻌,しんにょう		うんてん	運転	
泳	エイ	およ(ぐ)	8	氵,さんずい		すいえい	水泳	
駅	エキ		14	馬,うまへん	驛	えきはどこですか	駅はどこですか	
央	オウ		5	大,だい		ちゅうおう	中央	
横	オウ	よこ	15	木,きへん	橫			
屋	オク	や	9	尸,しかばね		やね、おくじょう	屋根、屋上	
温	オン	あたた(かい)、あたた(まる)、あたた(める)	12	氵,さんずい	溫	おんせん	温泉	
化	カ、ケ	ば(ける)、ば(かす)	4	匕,ひ,さじ		しんか	進化	
荷	カ	に	10	艹,くさかんむり		にもつ、しゅっか	荷物	
界	カイ		9	田,た		せかい、たかい	出荷	
開	カイ	あ(く)、あ(ける)、ひら(く)、ひら(ける)	12	門,もんがまえ	开(中)			
階	カイ		12	阜阝,こざとへん		かいだん、だんかい	階段、段階	
寒	カン	さむ(い)	12	宀,うかんむり				
感	カン		13	心,こころ		カン(じる)、カン(じ)、かんしゃ、かんそう	感じる、感じ、感謝、感想	
漢	カン		13	氵,さんずい	汉(中)、漢	かんじ、かんけん(笑)	漢字、漢検	
館	カン	やかた	16	飠,しょくへん	館	としょかん	図書館	
岸	ガン	きし	8	山,やまかんむり		きしべ、かいがん	岸辺、海岸	
起	キ	お(きる)、お(こす)、お(こる)	10	走,そうにょう				
期	キ、ゴ		12	月,つきへん		じき、きかん、きたい、きげん、さいご	時期、期間、期限、最期	
客	キャク、カク		9	宀,うかんむり		おきゃくさん	お客さん	
究	キュウ	きわ(める)	7	穴,あなかんむり		けんきゅう	研究	
急	キュウ	いそ(ぐ)、せ(く)	9	心,こころ		きゅうに	急に	
級	キュウ		9	糹,いとへん		しょきゅう、ちゅうきゅう、じょうきゅう	初級、中級、上級	
宮	キュウ、グウ、ク	みや	10	宀,うかんむり		きゅうでん、きゅうてい、しきゅう	宮殿、宮廷、子宮	
球	キュウ	たま	11	玉,たまへん		やきゅう、きゅうぎ	野球、球技	
去	キョ、コ	さ(る)	5	ム,む		きょねん	去年	
橋	キョウ	はし	16	木,きへん	桥(中)	はしをわたる	橋を渡る	
業	ぎょう、ゴウ	わざ	5	一,いち	业(中)	さぎょう、きぎょう、ぎょうかい	作業、企業、業界	
曲	キョク	ま(がる)、ま(げる)	6	曰,いわく		さっきょく、きょくせん	作曲、曲線	
局	キョク		7	尸,しかばね		じむきょく、けっきょく	事務局、結局	
銀	ギン	しろがね	14	釒,かねへん	银(中)	ぎんこう	銀行	
区	ク		4	匸,かくしがまえ	區	ちく、くべつ、にしく	地区、区別、西区	
苦	ク	くる(しい)、にが(い)、くる(しむ)、くる(しめる)	8	艹,くさかんむり				
具	グ		8	八,はち		どうぐ	道具	
君	クン	きみ	7	口,くち				
係	ケイ	かかり、かか(る)	9	亻,にんべん		～がかり、かんけい	～係、関係	
軽	ケイ	かる(い)、かろ(やか)	12	車,くるまへん	轻(中)、輕			
血	ケツ	ち	6	血,ち		けつえき	血液	
決	ケツ	き(まる)、き(める)	7	氵,さんずい		かいけつ	解決	
研	ケン	と(ぐ)	9	石,いしへん	硏	けんきゅう	研究	
県	ケン		9	目,め	縣	～けん、にいがたけん、とどうふけん	～県、新潟県、都道府県	
庫	コ、ク		10	广,まだれ	库(中)	しゃこ、そうこ	車庫、倉庫	
湖	コ	みずうみ	12	氵,さんずい		びわこ	琵琶湖	
向	コウ	む(かう)、む(こう)、む(ける)	6	口,くち				
幸	コウ	さいわ(い)、しあわ(せ)、さち	8	干,かん				
港	コウ	みなと	12	氵,さんずい		くうこう	空港	
号	ゴウ		5	口,くち	號	ばんごう	番号	
根	コン	ね	10	木,きへん		やね、こんきょ	屋根、根拠	
祭	サイ	まつ(り)、まつ(る)	11	示,しめす				
皿		さら	5	皿,さら		おさら、はいざら	お皿、灰皿	
仕	シ、ジ	つか(える)	5	亻,にんべん		しごと	仕事	
死	シ	し(ぬ)	6	歹,かばねへん				
使	シ	つか(う)	8	亻,にんべん		しよう、たいし	使用、大使	
始	シ	はじ(まる)、はじ(める)	8	女,おんなへん		かいし	開始	
指	シ	ゆび、さ(す)	9	扌,てへん		ゆびわ	指輪	
歯	シ	は	12	歯,は	齿(中)、齒	はいしゃ、しか、はぐるま	歯医者、歯科、歯車	
詩	シ	うた	13	訁,ごんべん		し！(ポエムのこと)、しじん、しく	詩、詩人、詩句	
次	ジ、シ	つぎ、つ(ぐ)	6	欠,かける		つぎ、じげん、～しだい	次、次元、～次第	
事	ジ、ズ	こと	8	亅,はねぼう		しごと、じぎょう、じけん、じこ	仕事、事業、事件、事後	
持	シ	も(つ)	9	扌,てへん		きもち、いじ、しじ	気持ち、維持、支持	
式	シキ		6	弋,しきがまえ		けっこんしき	結婚式	
実	ジツ	み、みの(る)	8	宀,うかんむり	实(中)、實	しんじつ	真実	
写	シャ	うつ(る)、うつ(す)	5	冖,わかんむり	㝍(中)、寫	しゃしん	写真	
者	シャ	もの	8	耂,おいかんむり	者	なにもの、かんじゃ、いしゃ	何者、患者、医者	
主	シュ、ス	おも、ぬし	5	丶,てん		おもに、おぬし、しゅぎ、しゅちょう	主に、お主、主義、主張	
守	シュ、ス	まも(る)、も(り)	6	宀,うかんむり		まもる、しゅご、こもり	守る、守護、子守り	
取	シュ	と(る)	8	又,また		しゅざい、とりひき、ききとり	取材、取引、聴き取り	
酒	シュ	さけ、さか	10	氵,さんずい		おさけ、にほんしゅ	お酒、日本酒	
受	ジュ	う(ける)、う(かす)	8	又,また		うけつけ、じゅしん	受付、受信	
州	シュウ	す	6	川,かわ		おうしゅう、きゅうしゅう、アメリカの	欧州、九州	
拾	シュウ、ジュウ	ひろ(う)	9	扌,てへん		いのちびろい、ひろいもの	命拾い、拾い物	
終	シュウ	お(わる)、お(える)	11	糹,いとへん		しゅうえん	終焉	
習	シュウ	なら(う)	11	羽,はね		れんしゅう	練習	
集	シュウ	あつ(める)、あつ(まる)、つど(う)	12	隹,ふるとり		へんしゅう、しゅうだん	編集、集団	
住	ジュウ	す(む)、す(まう)	7	亻,にんべん		じゅうにん、じゅうしょ	住人、住所	
重	ジュウ、チョウ	おも(い)、かさ(なる)、かさ(ねる)、え	9	里,さと		たいじゅう、じゅうよう、ふたえ	体重、重要、二重	
宿	シュク	やど、やど(る)、やど(す)	11	宀,うかんむり		しゅくだい、のじゅく	宿題、野宿	
所	ショ	ところ	8	戸,と		ばしょ	場所	
暑	ショ	あつ(い)	12	日,ひ	暑	もうしょ、あつさ	猛暑、暑さ	
助	ジョ	たす(ける)、たす(かる)、すけ	7	力,ちから		えんじょ、じょし、きゅうじょ、じょげん	援助、助詞、救助、助言	
昭	ショウ		9	日,ひへん		しょうわじだい	昭和時代	
消	ショウ	け(す)、き(える)	10	氵,さんずい		しょうぼうしゃ、けしゴム	消防車、消しゴム	
商	ショウ	あきな(う)	11	口,くち		しょうばい、しょうひん、しょうてん	商売、商品、商店	
章	ショウ		11	立,たつ		ぶんしょう、くんしょう	文章、勲章	
勝	ショウ	か(つ)、まさ(る)	12	力,ちから		しょうり、らくしょう	勝利、楽勝	
乗	ジョウ	の(る)、の(せる)	9	丿,の,はらいぼう	乘	じょうきゃく、じょうしゃ	乗客、乗車	
植	ショク	う(える)、う(わる)	12	木,きへん		しょくぶつ	植物	
申	シン	もう(す)	5	田,た		～ともうします、しんせい、もうしわけない	～と申します、申請、申し訳ない	
身	シン	み	7	身,み		みぶん、しんたい(からだ)、	身分、身体	
神	シン、ジン	かみ、かん、こう	9	礻,しめすへん	神	かみさま、かみかぜ	神様、神風	
真	シン	ま	10	目,め	眞	しんじつ、しゃしん、まなつ	真実、写真、真夏	
深	シン	ふか(い)、ふか(まる)、ふか(める)	11	氵,さんずい		しんかい	深海	
進	シン	すす(む)、すす(める)	11	辵辶⻌,しんにょう	进(中)	しんか	進化	
世	セ、セイ	よ	5	一,いち		せかい、よのなか	世界、世の中	
整	セイ	ととの(う)、ととの(える)	16	攵,のぶん		せいり、ちょうせい、せいりせいとん	整理、調整、整理整頓	
昔	シャク、セキ	むかし	8	日,ひ				
全	ぜん	すべ(て)、まった(く)	6	入,いりやね		ぜんぜん、ぜんいん	全然、全員	
相	ソウ、ショウ	あい	9	目,め		そうだん、あいて、あいしょう	相談、相手、相性	
送	ソウ	おく(る)	9	辵辶⻌,しんにょう		おくりもの、そうしん	送る	
想	ソウ、ソ	おも(い)	13	心,こころ		かんそう、よそう、そうぞう	感想、予想、想像	
息	ソク	いき	10	心,こころ		きゅうそく、ちっそく、いきぐるしい	休息、窒息、息苦しい	
速	ソク	はや(い)、はや(まる)、はや(める)、すみ(やか)	10	辵辶⻌,しんにょう		じそく、かそく、さっそく	時速、加速、早速	
族	ゾク		11	方,ほうへん,かたへん		かぞく	家族	
他	タ	ほか	5	亻,にんべん		そのた、たにん、ほかに	その他、他人、他に	
打	ダ	う(つ)	5	扌,てへん		だげき、だぼく、うちあわせ	打撃、打撲、打ち合わせ	
対	タイ、ツイ		7	寸,すん,すんづくり	对(中)、對	たいおう、たいさく、たいしょう、はんたい	対応、対策、対象、反対	
待	タイ	ま(つ)	9	彳,ぎょうにんべん		しょうたい、きたい、たいき、まちあわせ	招待、期待、待機、待ち合わせ	
代	タイ、ダイ	しろ、か(える)、か(わる)、よ	5	亻,にんべん		だいりにん、しろもの、だいひょう、じだい、げんだい	代理人、代物、代表、時代、現代	
第	ダイ		11	𥫗,たけかんむり		だいいち、だいいっか、だいにか	第一、第一課、第二課	
題	ダイ		18	頁,おおがい		もんだい、しゅくだい	問題、宿題	
炭	タン	すみ	9	火,ひ		たんさん、せきたん、たんそ	炭酸、石炭、炭素	
短	タン	みじか(い)	12	矢,やへん				
談	ダン		15	訁,ごんべん		そうだん、ざつだん	相談、雑談	
着	チャク、ジャク	き(る)、き(せる)、つ(く)、つ(ける)	12	羊,ひつじ		ふくをきる、とうちゃく	服を着る、到着	
注	チュウ	そそ(ぐ)	8	氵,さんずい		ちゅうい	注意	
柱	チュウ	はしら	9	木,きへん		でんちゅう	電柱	
丁	チョウ、テイ		2	一,いち		ちょうど、ていねい	丁度、丁寧	
帳	チョウ		11	巾,はば	帐(中)	てちょう	手帳	
調	チョウ	しら(べる)	15	訁,ごんべん		ちょうさ、ちょうせい、ちょうし	調査、調整、調子	
追	ツイ	お(う)	9	辵辶⻌,しんにょう		おいかける、ついしん	追いかける、追伸	
定	テイ、ジョウ	さだ(める)、さだ(まる)、さだ(か)	8	宀,うかんむり		けってい、よてい、ていぎ	決定、予定、定義	
庭	テイ	にわ	10	广,まだれ		ていえん、なかにわ	庭園、中庭	
笛	テキ	ふえ	11	𥫗,たけかんむり		くちぶえ、きてき、しのぶえ	口笛、汽笛、篠笛	
鉄	テツ		13	釒,かねへん	鐵	ちかてつ、てつどう	地下鉄、鉄道	
転	テン	ころ(ぶ)、ころ(がる)、ころ(げる)、ころ(がす)	11	車,くるまへん	转(中)、轉	じてんしゃ、てんしょく	自転車、転職	
都	ツ、ト	みやこ	11	阝,おおざと	都	つごう、とかい、とうきょうと	都合、都会、東京都	
度	ド、タク、ト	たび	9	广,まだれ		いちど、このたび、どきょう、したく	一度、この度、度胸、支度	
投	トウ	な(げる)	7	扌,てへん		とうひょう	投票	
豆	ズ、トウ	まめ	7	豆,まめ		なっとう	納豆	
島	トウ	しま	10	山,やま	嶋	レユニオンとう	レユニオン島	
湯	トウ	ゆ	12	氵,さんずい	汤(中)	おゆ	お湯	
登	ト、トウ	のぼ(る)	12	癶,はつがしら		とざん、とうじょう、とうこう	登山、登場、登校	
等	トウ	など、ひと(しい)	12	𥫗,たけかんむり		など、じょうとう	等、上等	
